t,u,v,z,Î¸
-1,0.0,0.0,0.0,0.0
0,0.0,1.005032405473115,0.65,1.0050324054731148
1,-0.1266340830896125,0.8271416697043734,0.6168499999999999,0.9537757527939856
2,-0.18551893172628234,0.71961425767521,0.58539065,0.9051331894014926
3,-0.20977455063534975,0.6491968461066666,0.55553572685,0.8589713967420164
4,-0.21647406411733458,0.5986897913908389,0.52720340478065,0.8151638555081735
5,-0.2144112628785746,0.559179235998682,0.5003160311368368,0.7735904988772566
6,-0.20810861450387885,0.5260287689306375,0.47479991354885803,0.7341373834345164
7,-0.19988535539675062,0.4968110214826056,0.45058511795786627,0.6966963768793561
8,-0.19092458687152222,0.47024027478698666,0.42760527694201506,0.6611648616585089
9,-0.1818238593946776,0.4456215943192473,0.4057974078179723,0.6274454537139249
10,-0.17287923861560822,0.42256649695890647,0.3851017400192557,0.5954457355745146
11,-0.16423184980804273,0.4008461532521717,0.3654615512782736,0.5650780030602145
12,-0.1559434628865371,0.3803155620176064,0.34682301216308165,0.5362590249041435
13,-0.14803546398737527,0.36087435064665696,0.3291350385427645,0.5089098146340321
14,-0.1405089360613737,0.3424464780263228,0.3123491515770835,0.48295541408769643
15,-0.13335499318271862,0.32496969478650534,0.2964193448466522,0.45832468796922393
16,-0.12656008716640504,0.30839004171638845,0.2813019582594729,0.4349501288827935
17,-0.12010872121709701,0.292658951092674,0.2669555583882398,0.41276767230977107
18,-0.11398482685905321,0.27773169416291943,0.2533408249104396,0.39171652102197263
19,-0.10817245230804004,0.263566526141812,0.2404204428400071,0.37173897844985204
20,-0.10265609667563005,0.2501241938732795,0.22815900025516672,0.3527802905489096
21,-0.09742086249378772,0.2373676332371274,0.21652289124215318,0.3347884957309151
22,-0.09245251550888979,0.22526176693974864,0.20548022378880337,0.3177142824486384
23,-0.0877374975911156,0.21377335645264223,0.19500073237557436,0.3015108540437578
24,-0.08326291636652915,0.202870884120997,0.18505569502442007,0.2861338004875262
25,-0.07901652370655736,0.19252445295610499,0.17561785457817464,0.2715409766626623
26,-0.07498668929207905,0.18270569756078744,0.16666134399468774,0.25769238685286655
27,-0.071162372418174,0.17338770270519632,0.15816161545095864,0.2445500751233703
28,-0.06753309363332245,0.164544927658756,0.15009537306295972,0.2320780212920784
29,-0.06408890699759628,0.1561531352085861,0.1424405090367488,0.2202420422061824
30,-0.06082037332873867,0.14818932472492843,0.1351760430758746,0.2090096980536671
31,-0.05771853459239123,0.14063166886053882,0.128282064879005,0.19835020345293006
32,-0.054774889484743065,0.13345945359208758,0.12173967957017574,0.18823434307683062
33,-0.0519813702018081,0.1266530213781042,0.11553095591209678,0.1786343915799123
34,-0.04933032036320194,0.12019371724613483,0.10963887716057984,0.16952403760933676
35,-0.046814474046188645,0.11406383764507191,0.10404729442539026,0.16087831169126057
36,-0.044426935880932175,0.10824658191407407,0.09874088240969536,0.15267351779500626
37,-0.04216116215673181,0.10272600623072917,0.09370509740680089,0.14488716838746096
38,-0.04001094288969371,0.09748697991000674,0.08892613743905405,0.13749792279970044
39,-0.037970384803844216,0.09251514393307149,0.08439090442966228,0.1304855287369157
40,-0.036033895179635,0.087796871591698,0.0800869683037495,0.12383076677133298
41,-0.034196166525879625,0.08331923114011539,0.07600253292025827,0.11751539766599499
42,-0.03245216203326926,0.07906995035176,0.0721264037413251,0.11152211238502927
43,-0.030797101769680636,0.07503738288371213,0.06844795715051752,0.10583448465339278
44,-0.0292264495794827,0.07121047635658705,0.06495711133584113,0.10043692593606973
45,-0.027735900650957865,0.06757874206237231,0.06164429865771322,0.09531464271333018
46,-0.026321369717773865,0.06413222621717646,0.058500439426169844,0.09045359593495032
47,-0.02497897986217506,0.0608614826800928,0.05551691701543517,0.08584046254226786
48,-0.023705051889208083,0.05775754706340411,0.052685554247647974,0.08146259895261218
49,-0.022496094242860514,0.05481191216316844,0.04999859098101792,0.07730800640602895
50,-0.02134879343647568,0.052016504642845796,0.047448662840986006,0.07336529807932146
51,-0.02026000497121596,0.049363662906060125,0.045028781036095714,0.06962366787727607
52,-0.019226744717684225,0.04684611609785077,0.04273231320325483,0.066072860815535
53,-0.018246180737082472,0.04445696417686022,0.040552965229888834,0.06270314491394269
54,-0.017315625519491337,0.04218965900384027,0.0384847640031645,0.05950528452333162
55,-0.016432528617997315,0.040037986394644384,0.036522041039003104,0.056470515012641706
56,-0.015594469658479472,0.0379960490885175,0.034659416946013946,0.05359051874699697
57,-0.014799151705897028,0.036058250585003095,0.03289178668176723,0.05085740229090012
58,-0.014044394968896286,0.03421927980516793,0.0312143055609971,0.048263674774064215
59,-0.013328130825482575,0.03247409653510436,0.02962237597738625,0.045802227360586936
60,-0.012648396153382965,0.030817917611814037,0.02811163480253955,0.043466313765197
61,-0.012003327949560437,0.029246203813611513,0.02667794142761003,0.04124953176317195
62,-0.011391158224132853,0.027754647419117328,0.025317366414801916,0.03914580564325018
63,-0.010810209154702079,0.026339160400742342,0.024026180727647017,0.037149369555444414
64,-0.01025888848781227,0.02499586322030448,0.022800845510537016,0.03525475170811675
65,-0.009735685174933844,0.023721074196068948,0.02163800238949963,0.03345675937100279
66,-0.009239165231012217,0.022511299412069433,0.020534464267635145,0.03175046464308164
67,-0.008767967804230593,0.02136322314205389,0.01948720658998575,0.030131190946284483
68,-0.008320801446214832,0.02027369876180914,0.01849335905389648,0.028594500208023968
69,-0.007896440572457876,0.019239740124956876,0.017550197742147756,0.02713618069741475
70,-0.007493722103262523,0.01825851337858407,0.01665513765729822,0.025752235481846596
71,-0.007111542275996134,0.017327329196276286,0.01580572563677601,0.024438871472272417
72,-0.006748853619920331,0.01644363540726619,0.014999633629300433,0.02319248902718652
73,-0.006404662085304393,0.015605010001495613,0.01423465231420611,0.02200967208680001
74,-0.00607802431895387,0.014809154491419337,0.013508685046181596,0.020887178810373205
75,-0.005768045078687222,0.014053887612356951,0.012819742108826334,0.01982193269104417
76,-0.0054738747796741725,0.013337139344126744,0.012165935261276191,0.01881101412380091
77,-0.00519470716591079,0.012656945237576276,0.011545472562951103,0.01785165240348707
78,-0.004929777100449339,0.012011441030459888,0.010956653462240597,0.01694121813090923
79,-0.004678358468326422,0.011398857537906433,0.010397864135666327,0.016077216006232853
80,-0.004439762186441774,0.010817515803473204,0.009867573064747344,0.015257277989914978
81,-0.004213334314933244,0.010265822497496071,0.009364326838445229,0.014479156812429313
82,-0.003998454264871648,0.009742265550123773,0.00888674616968452,0.013740719814995422
83,-0.003794533097363194,0.009245410007067459,0.00843352211503061,0.013039943104430652
84,-0.0036010119093976708,0.008773894096707016,0.008003412487164048,0.012374906006104688
85,-0.00341736030201839,0.008326425497774957,0.0075952384503186815,0.011743785799793346
86,-0.0032430749266154513,0.007901777797388437,0.0072078812893524285,0.011144852724003887
87,-0.003077678105358063,0.007498787129721626,0.006840279343595454,0.010576465235079689
88,-0.002920716521984801,0.007116348986105822,0.006491425097072086,0.010037065508090623
89,-0.0027717599793635763,0.006753415187814425,0.006160362417121409,0.009525175167178001
90,-0.0026304002204160337,0.00640899101323589,0.005846183933848217,0.009039391233651923
91,-0.002496249809174816,0.006082132471560858,0.005548028553221958,0.008578382280735675
92,-0.0023689410689069004,0.005771943715511254,0.005265079097007638,0.008140884784418155
93,-0.0022481250743926484,0.005477574586020179,0.004996560063060248,0.007725699660412828
94,-0.002133470695598623,0.00519821828213315,0.004741735499844175,0.007331688977731773
95,-0.002024663690123094,0.00493310914974436,0.0044999069893521225,0.0069577728398674535
96,-0.0019214058419268158,0.004681520583107398,0.004270411732895164,0.006602926425034214
97,-0.0018234141439885485,0.004442763033368919,0.004052620734517511,0.0062661771773574685
98,-0.001730420022645132,0.004216182118667105,0.0038459370770571174,0.005946602141312237
99,-0.0016421686014902305,0.004001156830615082,0.003649794286127204,0.005643325432105312
